Point X,Point Y,Tree Height
-122.497151,37.758768,4
-122.499475,37.761305,5
-122.506829,37.758874,5
-122.4972,37.759558,5
-122.503667,37.757577,5
-122.494154,37.757276,5
-122.493829,37.757406,5
-122.49384,37.757642,5
-122.493612,37.759022,5
-122.496685,37.751382,5
-122.496251,37.751406,5
-122.507557,37.751722,5
-122.506474,37.751425,5
-122.491256,37.734995,5
-122.490349,37.735766,5
-122.481867,37.755508,5
-122.494136,37.759596,5
-122.491669,37.759116,5
-122.489613,37.756437,5
-122.485587,37.74501,5
-122.495341,37.75834,5
-122.482275,37.759134,5
-122.502954,37.735629,5
-122.503012,37.735632,5
-122.505804,37.744281,5
-122.483133,37.754075,5
-122.488881,37.746029,5
-122.492968,37.745025,5
-122.49496,37.75388,5
-122.501748,37.762992,5
-122.490737,37.741717,5
-122.483103,37.740139,5
-122.508173,37.760584,5
-122.477578,37.753216,5
-122.504879,37.761672,5
-122.50731,37.758574,5
-122.502545,37.759089,5
-122.50058,37.744161,5
-122.501514,37.744337,5
-122.505832,37.74458,5
-122.505911,37.745772,5
-122.494261,37.749798,5
-122.493169,37.749696,5
-122.493045,37.7497,5
-122.49273,37.749716,5
-122.49264,37.749725,5
-122.489179,37.737313,5
-122.499013,37.739326,5
-122.494912,37.746907,5
-122.483714,37.754049,5
-122.505674,37.757658,5
-122.506459,37.758463,5
-122.503554,37.755975,5
-122.504375,37.739212,5
-122.504132,37.735787,5
-122.494227,37.735642,5
-122.490921,37.759809,5
-122.505104,37.753082,5
-122.502999,37.73615,5
-122.498404,37.736549,5
-122.496298,37.759857,5
-122.491732,37.755994,5
-122.480602,37.752731,5
-122.490268,37.750412,5
-122.491771,37.743413,5
-122.486512,37.746401,5
-122.482882,37.739216,5
-122.498382,37.741969,5
-122.497186,37.741928,5
-122.50106,37.755106,5
-122.483047,37.741663,5
-122.475681,37.740878,5
-122.47563,37.740146,5
-122.497258,37.744977,5
-122.480215,37.755868,5
-122.481989,37.754843,5
-122.483174,37.743448,5
-122.488065,37.749486,5
-122.490757,37.759567,5
-122.489584,37.746113,5
-122.489292,37.746121,5
-122.481926,37.756284,5
-122.485191,37.75679,5
-122.488505,37.755767,5
-122.501557,37.758271,5
-122.506945,37.745188,5
-122.499002,37.754598,5
-122.494227,37.743551,5
-122.486875,37.744365,5
-122.477752,37.742806,5
-122.494458,37.746203,5
-122.494649,37.741037,5
-122.494495,37.738629,5
-122.493792,37.736797,5
-122.493797,37.736849,5
-122.478762,37.741965,5
-122.506796,37.743073,5
-122.48133,37.740861,5
-122.496135,37.761951,5
-122.493384,37.764337,5
-122.487148,37.740759,5
-122.481193,37.748347,5
-122.506935,37.758182,5
-122.482242,37.745453,5
-122.485693,37.764156,5
-122.494408,37.763566,5
-122.493877,37.761045,5
-122.495107,37.747365,5
-122.482033,37.755507,5
-122.4756338,37.78051412,5
-122.4744414,37.78057106,5
-122.448905,37.77811077,5
-122.4488937,37.77806075,5
-122.505005,37.763487,5
