Cistern #,Intersection,Latitude,Longitude,Volume,Date
1,Broadway & Osgood,37.798277,-122.40306,75000,Unknown
2,Grant & Bush,37.790617,-122.405733,75000,Unknown
3,Grant & California,37.792374,-122.40577,75000,Unknown
4,Grant & Washington,37.795156,-122.406527,75000,Unknown
5,Grant & Pacific,37.7969186,-122.4068665,75000,Unknown
6,Grant & Vallejo,37.798686,-122.407216,75000,Unknown
7,Grant & Union,37.800611,-122.407713,75000,Unknown
8,Grant & Greenwich,37.802516,-122.408027,75000,Unknown
9,Jones & Jackson,37.7950197,-122.4148518,75000,Unknown
10,Kearny & Sacramento,37.7936042,-122.4046467,75000,Unknown
11,Kearny & Merchant,37.7948665,-122.4070821,75000,Unknown
12,Leavenworth & Union,37.7994171,-122.4174331,90000,Unknown
13,Mason & California,37.7918653,-122.4108305,87000,Unknown
14,Montgomery & Pacific,37.79733,-122.40381,20000,Unknown
15,Montgomery & Washington,37.795456,-122.403208,16000,Unknown
16,Montgomery & Commercial,37.79342,-122.402841,17500,Unknown
17,Montgomery & California,37.792577,-122.402591,32500,Unknown
18,Kearny & Post,37.7889203,-122.4037102,13000,Unknown
19,Kearny & Bush,37.790248,-122.404099,19200,Unknown
20,Powell & Green,37.799395,-122.410758,20350,Unknown
21,Powell & Pacific,37.796477,-122.410064,13700,Unknown
22,Powell & Bush,37.790153,-122.408619,34460,Unknown
23,Battery & Bush,37.79112,-122.399593,75000,Unknown
24,Powell & Washington,37.794638,-122.409637,13750,Unknown
25,Sansome & Pacific,37.797438,-122.402016,25750,Unknown
26,Stockton & Pacific,37.7967142,-122.4084476,19000,Unknown
27,Stockton & Vallejo,37.798564,-122.408838,9600,Unknown
28,Stockton & Union,37.800413,-122.409253,26100,Unknown
29,Taylor & Clay,37.7934572,-122.4128401,34660,Unknown
30,Van Ness & Bay,37.804344,-122.425399,75000,Unknown
31,Capp & 18th,37.761974,-122.418289,75000,Unknown
32,Capp & 15th,37.76667,-122.418753,75000,Unknown
33,Dolores & 18th,37.7614288,-122.4260772,75000,Unknown
34,Dolores & 16th,37.764638,-122.4264921,75000,Unknown
35,Dolores & 14th,37.768074,-122.426741,75000,Unknown
36,8th & Brannan,37.771244,-122.405442,75000,Unknown
37,8th & Townsend,37.769998,-122.403756,75000,Unknown
38,Folsom & 13th,37.769538,-122.415304,75000,Unknown
39,Folsom & 16th,37.76538,-122.415566,75000,Unknown
40,Fulton & Laguna,37.778333,-122.426692,75000,Unknown
41,Kansas & 15th,37.767298,-122.403765,75000,Unknown
42,Howard & 7th,37.777983,-122.409191,75000,Unknown
43,Laguna & Market,37.770813,-122.425137,75000,Unknown
44,Market & Valencia,37.753882,-122.419445,75000,Unknown
45,Mission & 7th,37.7792124,-122.4109462,75000,Unknown
46,Mission & Otis,37.770101,-122.420041,75000,Unknown
47,Sanchez & Duboce,37.769204,-122.431353,75000,Unknown
48,Van Ness & Market,37.729202,-122.392238,75000,Unknown
49,Van Ness & Grove,37.778462,-122.419683,75000,Unknown
50,Van Ness & Golden Gate,37.778368,-122.419848,75000,Unknown
51,Van Ness & Ellis,37.753882,-122.419445,75000,Unknown
52,Webster & Waller,37.771315,-122.428613,75000,Unknown
53,5th & Bluxome,37.776011,-122.397923,75000,Unknown
54,5th & Bryant,37.778077,-122.400404,75000,Unknown
55,5th & Harrison,37.779143,-122.401583,75000,Unknown
56,5th & Folsom,37.780199,-122.403512,75000,Unknown
57,1st & Howard,37.788671,-122.395858,75000,Unknown
58,1st & Folsom,37.787295,-122.39462,75000,Unknown
59,1st & Harrison,37.786187,-122.393191,95200,Unknown
60,4th & Harrison,37.780707,-122.399695,75000,Unknown
61,Howard & Beale,37.789808,-122.394571,75000,Unknown
62,Powell & Ellis,37.7855,-122.4077,19200,Unknown
63,2nd & Folsom,37.785527,-122.396684,34000,Unknown
64,6th & Howard,37.779929,-122.40722,75000,Unknown
65,6th & Folsom,37.778394,-122.405554,75000,Unknown
66,6th & Harrison,37.777321,-122.403964,75000,Unknown
67,4th & Bryant,37.779602,-122.39819,75000,Unknown
68,Mariposa & Missouri,37.763897,-122.396894,75000,Unknown
69,Broadway & Scott,37.793645,-122.439857,75000,Unknown
70,California & Buchanan,37.789382,-122.430524,75000,Unknown
71,Clay & Laurel,37.788655,-122.450489,75000,Unknown
72,Divisadero & Washington,37.790754,-122.441045,75000,Unknown
73,Geary & Gough,37.785332,-122.424771,75000,Unknown
