Prison Name,Latitude,Longitude,Size
180 Degrees,44.966196,-93.282606,21
Abbeville County Detention Center,34.163074,-82.416575,79
Aberdeen City Jail,46.976379,-123.817475,23
Acadia Parish Criminal Justice Center and Detention Center,30.202967,-92.426896,109
Acadia Parish Jail,30.214455,-92.373653,132
Accomack County Jail,37.721716,-75.670244,92
Acton Conservation Camp,34.438069,-118.287386,103
Acworth City Jail,34.060344,-84.660353,16
Ada County Jail,43.605559,-116.270551,935
Adair County Jail,35.802975,-94.626436,25
Adair County Jail,37.103958,-85.306744,112
Adams County Adult Correctional Facility,39.858469,-77.154698,304
Adams County Correctional Center,31.561438,-91.225649,1976
Adams County Detention Center,39.992589,-104.797794,1294
Adams County Jail,31.55913,-91.40513,62
Adams County Jail,38.795312,-83.546085,51
Adams County Jail,39.935091,-91.407551,110
Adams County Jail,40.587457,-98.388105,28
Adams County Jail,40.827099,-84.919917,93
Adams County Jail,43.971321,-89.815586,62
Adams County Jail,44.737012,-116.436354,19
Adams County Jail,47.127367,-118.382623,28
Adamsville City Jail,33.601097,-86.954786,7
Addison County Jail,44.011384,-73.163376,19
Adelanto Detention Center,34.548376,-117.456865,746
Adirondack,44.29659,-74.090934,285
Adirondack,44.297592,-74.09291,130
Adult Diagnostic Cntr./E. Jersey State,40.588709,-74.275902,2580
Affinity House,44.852525,-91.476884,12
Airway Heights Corrections Center,47.651481,-117.576071,2184
Aitkin County Jail,46.532832,-93.710349,78
Ajo District Jail,32.381949,-112.858611,6
Alabaster City Jail,33.246389,-86.816083,4
Alachua County Jail,29.678279,-82.280326,974
Alamance County Jail- Prison Camp Road Facility,36.05618,-79.391192,65
Alamosa County Jail,37.455603,-105.876218,68
Albany County Correctional Facility,42.734321,-73.796784,680
Albany Diversion Center,31.580387,-84.150299,154
Albemarle Correctional Institution,35.416668,-80.135969,575
Albermarle-Charlottesville Regional Jail,38.003879,-78.502892,560
Albertville City Jail,34.266855,-86.210007,30
Albion Correctional Facility,43.242628,-78.214562,914
Alcona County Jail,44.65686,-83.297255,28
Alcorn County Regional Correctional Facility,34.90814,-88.553421,75
Aldair County Jail,40.196192,-92.583726,39
Alder Conservation Camp,41.507517,-124.063306,101
Alderson FPC,37.723355,-80.668815,1124
Alexander Correctional Institution,35.881127,-81.177699,966
Alexander County Jail,35.922368,-81.175711,21
Alexandria City Detention Center,38.79927,-77.068725,400
Alfalfa County Jail,36.755187,-98.356709,11
Alger County Jail,46.407704,-86.658175,16
Alger Max,46.380392,-86.656748,847
Algoa Correction Center; Jefferson City Correction Center,38.554063,-92.053483,3368
All that is contained within this block is a skating facility.,26.635727,-81.869592,5
Alle Kiski Pavilion,40.578168,-79.768855,77
Allegan County Jail,42.528295,-85.851743,158
