Intersection,Latitude,Longitude,Size
Broadway & Osgood,37.7983359,-122.4030815,75000
Grant & Bush,37.7905548,-122.4056239,75000
Grant & California,37.792486,-122.4059615,75000
Grant & Washington,37.7951646,-122.4065048,75000
Grant & Pacific,37.7969186,-122.4068665,75000
Grant & Vallejo,37.7987868,-122.4072332,75000
Grant & Union,37.800664,-122.4076098,75000
Grant & Greenwich,37.8025266,-122.40799,75000
Jones & Jackson,37.7950197,-122.4148518,75000
Kearney & Sacramento,37.7936042,-122.4046467,75000
Kearney & Merchant,37.7749295,-122.4194155,75000
Leavenworth & Union,37.7994171,-122.4174331,90000
Mason & California,37.7918653,-122.4108305,87000
Montgomery & Pacific,37.7973166,-122.4037026,20000
Montgomery & Washington,37.7955349,-122.4033473,16000
Montgomery & Commercial,37.7942308,-122.4030891,17500
Montgomery & California,37.792877,-122.4028272,32500
Kearney & Post,37.7889203,-122.4037102,13000
Kearney & Bush,37.7907632,-122.4040735,19200
Powell & Green,37.7993195,-122.4106758,20350
Powell & Pacific,37.7965168,-122.4101149,13700
Powell & Bush,37.7901705,-122.4088198,34460
Battery & Bush,37.7913234,-122.3996171,75000
Powell & Washington,37.794638,-122.409637,13750
Sansome & Pacific,37.7975103,-122.4020586,25750
Stockton & Pacific,37.7967142,-122.4084476,19000
Stockton & Vallejo,37.7985926,-122.408838,9600
Stockton & Union,37.8004633,-122.4092244,26100
Taylor & Clay,37.7934572,-122.4128401,34660
Van Ness & Bay,37.729202,-122.392238,75000
Capp & 18th,37.7619061,-122.4183084,75000
Capp & 15th,37.7667438,-122.4187654,75000
Dolores & 18th,37.7614288,-122.4260772,75000
Dolores & 16th,37.764638,-122.4264921,75000
Dolores & 14th,37.7678672,-122.4268044,75000
8th & Brannan,37.7713302,-122.4054307,75000
8th & Townsend,37.770065,-122.4039627,75000
Folsom & 13th,37.7696889,-122.4155521,75000
Folsom & 16th,37.7653296,-122.4153468,75000
Fulton & Laguna,37.778335,-122.4266661,75000
Kansas & 15th,37.7673323,-122.4037807,75000
Howard & 7th,37.7779908,-122.4093978,75000
Laguna & Market,37.7706516,-122.42488,75000
Market & Valencia,37.7725376,-122.4227233,75000
Mission & 7th,37.7792124,-122.4109462,75000
Mission & Otis,37.7731599,-122.4186079,75000
Sanchez & Duboce,37.7693209,-122.43131,75000
Van Ness & Market,37.729202,-122.392238,75000
Van Ness & Grove,37.729202,-122.392238,75000
Van Ness & Golden Gate,37.729202,-122.392238,75000
Van Ness & Ellis,37.729202,-122.392238,75000
Webster & Waller,37.7713924,-122.4286167,75000
5th & Bluxome,37.775981,-122.3980103,75000
5th & Bryant,37.7778192,-122.4003128,75000
5th & Harrison,37.779049,-122.4018621,75000
5th & Folsom,37.7802841,-122.4034164,75000
1st & Howard,37.7885557,-122.3960306,75000
1st & Folsom,37.7873347,-122.3945241,75000
1st & Harrison,37.7860527,-122.3929936,95200
4th & Harrison,37.7808115,-122.3996352,75000
Howard & Beale,37.7899293,-122.3942854,75000
Powell & Ellis,37.7855186,-122.4078883,19200
2nd & Folsom,37.7855505,-122.3967177,34000
6th & Howard,37.779741,-122.4071746,75000
6th & Folsom,37.7785241,-122.4056342,75000
6th & Harrison,37.7772879,-122.4040802,75000
4th & Bryant,37.7792117,-122.3992902,75000
Mariposa & Missouri,37.7638675,-122.3966891,75000
Broadway & Scott,37.7936496,-122.439849,75000
California & Buchanan,37.7893227,-122.4305724,75000
Clay & Laurel,37.7886452,-122.4504825,75000
Divisadero & Washington,37.7907651,-122.4409588,75000
Geary & Gough,37.785286,-122.4246999,75000
Geary & Laguna,37.7848872,-122.4279882,75000
Geary & Webster,37.7846656,-122.4311126,75000
Geary & Scott,37.7836401,-122.4378439,75000
Green & Broderick,37.7951018,-122.4435658,75000
Greenwich & Webster,37.7991698,-122.4342719,75000
Greenwich & Baker,37.7976919,-122.4457715,75000
Pacific & Baker,37.7920978,-122.4446466,75000
Sacramento & Baker,37.7885743,-122.4439266,75000
Sutter & Octavia,37.786935,-122.4267194,75000
Union & Steiner,37.7968852,-122.4371254,75000
Union & Laguna,37.7977287,-122.4305272,75000
Vallejo & Webster,37.7954405,-122.4335472,75000
Broderick & Fulton,37.7766543,-122.4398489,75000
Broderick & Post,37.784108,-122.441349,75000
Castro & 14th,37.7673433,-122.4355975,75000
