Location,Date,Latitude,Longitude,Victims
Washington Navy Yard shooting,9/16/2013,38.874981,-76.99453,21
Santa Monica rampage,6/7/2013,34.008617,-118.494754033795,9
Pinewood Village Apartment shooting,4/21/2013,47.3129607,-122.3393665,5
Mohawk Valley shootings,3/13/2013,43.257206,-74.850712,7
Newtown school shooting,12/14/2012,41.4123225,-73.3114235802945,30
Accent Signage Systems shooting,9/27/2012,44.9772995,-93.2654692,8
Sikh temple shooting,8/5/2012,42.8858503,-87.8631362,10
Aurora theater shooting,7/20/2012,39.70689,-104.820735,70
Seattle cafe shooting,5/20/2012,47.6038321,-122.3300624,7
Oikos University killings,4/2/2012,37.8043808,-122.2708166,10
Su Jung Health Sauna shooting,2/22/2012,33.9412127,-84.2135309,5
Seal Beach shooting,10/14/2011,33.741176,-118.1046356,9
IHOP shooting,9/6/2011,39.1637984,-119.7674034,12
Tucson shooting,1/8/2011,32.2217429,-110.926479,19
Hartford Beer Distributor shooting,8/3/2010,41.7759324,-72.5214755,11
Coffee shop police killings,11/29/2009,47.155846,-122.437031,5
Fort Hood massacre,11/5/2009,31.2011305,-97.771569956927,43
Binghamton shootings,4/3/2009,42.0986867,-75.9179738,18
Carthage nursing home shooting,3/29/2009,35.345802,-79.4170543,11
Atlantis Plastics shooting,6/25/2008,37.76721,-87.5573742,7
Northern Illinois University shooting,2/14/2008,41.9294736,-88.7503647,27
Kirkwood City Council shooting,2/7/2008,38.5833862,-90.406785,8
Westroads Mall shooting,12/5/2007,41.2587317,-95.9378732,13
Crandon shooting,10/7/2007,45.5719072,-88.9028922,7
Virginia Tech massacre,4/16/2007,37.2295733,-80.4139393,56
Trolley Square shooting,2/12/2007,40.7606467,-111.89109,10
Amish school shooting,10/2/2006,40.01846345,-76.2336528617194,11
Capitol Hill massacre,3/25/2006,47.6038321,-122.3300624,9
Goleta postal shootings,1/30/2006,34.436283,-119.871440559809,8
Red Lake massacre,3/21/2005,47.876346,-95.0169401,15
Living Church of God shooting,3/12/2005,43.0605671,-88.1064787,11
Damageplan show shooting,12/8/2004,39.9622601,-83.0007065,12
Lockheed Martin shooting,7/8/2003,32.376081,-88.6897800234601,15
Navistar shooting,2/5/2001,41.9005865,-87.8567277,9
Wakefield massacre,12/26/2000,42.506484,-71.0728306,7
Hotel shooting,12/30/1999,27.9477595,-82.458444,8
Wedgwood Baptist Church shooting,9/15/1999,32.693397,-97.4706709166667,15
Atlanta day trading spree killings,7/29/1999,33.7490987,-84.3901849,22
Columbine High School massacre,4/20/1999,39.6021065,-104.987727336286,39
Thurston High School shooting,5/21/1998,44.0462362,-123.0220289,29
Westside Middle School killings,3/24/1998,35.8209895,-90.66826059874,15
Connecticut Lottery shooting,3/6/1998,41.6856325,-72.7298382724899,6
Caltrans maintenance yard shooting,12/18/1997,33.7877944,-117.8531119,7
R.E. Phelon Company shooting,9/15/1997,33.5598586,-81.721952,7
Fort Lauderdale revenge shooting,2/9/1996,26.1223084,-80.1433786,7
Walter Rossler Company massacre,4/3/1995,27.823713,-97.4173979435294,6
Air Force base shooting,6/20/1994,47.618644861959,-117.648358734953,28
Chuck E. Cheese's killings,12/14/1993,39.754713,-104.835869,5
Long Island Rail Road massacre,12/7/1993,40.7267682,-73.6342955,25
Luigi's shooting,8/6/1993,35.0529931,-78.8787058,12
101 California Street shootings,7/1/1993,37.7789601,-122.419199,15
Watkins Glen killings,10/15/1992,42.3810555,-76.8705777,5
Lindhurst High School shooting,5/1/1992,39.078687605881,-121.547576173493,14
Royal Oak postal shootings,11/14/1991,42.4894801,-83.1446485,10
University of Iowa shooting,11/1/1991,41.6606893,-91.5302214,7
Luby's massacre,10/16/1991,31.1171194,-97.7277959,44
GMAC massacre,6/18/1990,30.3321838,-81.655651,14
Standard Gravure shooting,9/14/1989,38.2542376,-85.759407,21
Stockton schoolyard shooting,1/17/1989,37.9577016,-121.2907796,35
ESL shooting,2/16/1988,37.3688301,-122.0363496,11
Shopping centers spree killings,4/23/1987,28.0331886,-80.6429695,20
United States Postal Service shooting,8/20/1986,35.6672015,-97.4293703650031,21
San Ysidro McDonald's massacre,7/18/1984,32.5520013,-117.0430813,41
Dallas nightclub shooting,6/29/1984,32.7801052,-96.8000082,7
Welding shop shooting,8/20/1982,25.796491,-80.226683,11
